gene	mean_KO	mean_WT	mean_dif	mean_pval	feature	location
4930584F24Rik	0.93	0.73	0.2	0.00375557971569161	gene	5:26461069:26492314
4930593C16Rik	0.71	0.5225	0.1875	0.00212373513905636	gene	9:120925454:120929802
4931429I11Rik	0.645	0.9	-0.255	3.90443153791813e-08	TES	9:40893848:40895848
4933407I05Rik	0.575	0.825	-0.25	7.03248076709811e-13	TSS	9:51913428:51915428
5430425K12Rik	0.865	0.7075	0.1575	0.00835644118709221	TES	13:80947597:80949597
5730409E04Rik	0.74	0.56	0.18	0.00539158422351676	gene	4:126610853:126613371
5730412P04Rik	0.8525	0.66	0.1925	0.0157303918418727	TES	20:136110613:136112613
5730507C01Rik	0.2075	0.02	0.1875	1.35459673491813e-07	TSS	12:18513509:18515509
5830428M24Rik	0.7325	0.5525	0.18	0.00262532482812662	TSS	12:69474550:69476550
5930403L14Rik	0.545	0.365	0.18	0.000646048550522751	gene	4:154631690:154635367
6030408B16Rik	0.85	0.6475	0.2025	0.0076411812016911	TSS	15:101292211:101294211
6030440G07Rik	1	0.8325	0.1675	0.0086153421274109	TES	12:111012872:111014872
6030466F02Rik	0.7575	0.555	0.2025	0.00207749043666208	TES	8:123738941:123740941
6330408A02Rik	0.7	0.515	0.185	7.0543601255937e-05	gene	7:13259966:13277721
6430710C18Rik	0.5875	0.3775	0.21	0.00491315037744463	TSS	2:72812717:72814717
6530403H02Rik	0.5525	0.3725	0.18	0.00174046781891689	TSS	3:120885732:120887732
9330117O12Rik	0.715	0.5125	0.2025	0.0166790412448561	gene	18:54612743:54638870
9330159F19Rik	0.335	0.0625	0.2725	0.0120228772564018	TSS	10:29210642:29212642
9430008C03Rik	0.835	0.66	0.175	0.000107160449046682	gene	2:158354699:158360509
9630028I04Rik	0.695	0.505	0.19	0.00103678680219423	gene	17:27236074:27247066
A130010J15Rik	0.8625	0.665	0.1975	0.00425742850707802	gene	1:193174576:193176832
A630012P03Rik	0.8825	0.6925	0.19	0.00711140490332628	gene	20:52576842:52618047
A730017C20Rik	0.615	0.815	-0.2	0.00488051664178276	TES	18:59075960:59077960
A730020E08Rik	0.5925	0.39	0.2025	0.00101715458136368	gene	6:61176603:61179810
A930001C03Rik	0.69	0.4425	0.2475	0.00219652832419287	gene	19:4440322:4447325
A930004D18Rik	0.23	0.4325	-0.2025	3.55078483284446e-05	gene	2:18026188:18036741
A930016O22Rik	0.8625	0.6975	0.165	0.000104777116657309	TES	7:19416465:19418465
A930031H19Rik	0.81	0.6025	0.2075	0.00802934862633807	TES	4:130999831:131001831
Aatk	0.72	0.5475	0.1725	5.07266290405822e-19	gene	11:120008315:120040781
Abcd1	0	0.1925	-0.1925	0.000169699073492624	TSS	20:73715596:73717596
Abhd14b	0.7425	0.5725	0.17	0.0145889241801827	gene	9:106449639:106451918
Abhd2	0.65	0.445	0.205	0.0054578175571938	TES	7:79360601:79362601
Abhd8	0.77	0.5575	0.2125	0.00377338548477749	TES	8:71455699:71457699
Abl1	0.33	0.1675	0.1625	0.00845149689356391	TSS	2:31758938:31760938
Abr	0.02	0.1975	-0.1775	0.000282136347197679	TSS	11:76570384:76572384
Ackr3	0.8275	0.635	0.1925	0.00165103182782195	gene	1:90204979:90214722
Acp5	0.7375	0.5575	0.18	0.000300271715901514	gene	9:22127726:22134746
Acrbp	0.74	0.5675	0.1725	0.0144782676942194	TES	6:125062265:125064265
Acsbg1	0.14	0.6475	-0.5075	0.00538080790029724	TSS	9:54660885:54662885
Acsm5	0.4375	0.235	0.2025	0.00648373980166372	TSS	7:119525264:119527264
Actb	0.00750000000000006	0.1975	-0.19	9.48844254158753e-08	gene	5:142904115:142905724
Adap1	0.61	0.3925	0.2175	0.00515140300031668	TES	5:139270875:139272875
Adh1	0.8025	0.625	0.1775	0.00397270588864063	TSS	3:138276644:138278644
Ado	0.555	0.39	0.165	0.010326446728229	gene	10:67545510:67547955
Adpgk	0.68	0.875	-0.195	0.000577417889161448	TES	9:59315200:59317200
Adtrp	0.9425	0.7325	0.21	0.000776718031690419	TSS	13:41846488:41848488
Aes	0.535	0.255	0.28	0.0062560824645415	gene	10:81560443:81565371
Agap3	0	0.1875	-0.1875	0.000984440443728867	TSS	5:24451176:24453176
Agt	0.69	0.4275	0.2625	0.000904923922737795	TES	8:124555586:124557586
AI464131	0.58	0.4075	0.1725	1.19677190041852e-08	gene	4:41496600:41502075
Akap17b	0.99	0.8025	0.1875	0.00074063931473395	gene	20:36609182:36644414
Alk	0	0.175	-0.175	9.21251290023087e-07	TSS	17:72603307:72605307
Alx4	0.535	0.3225	0.2125	6.89322046962179e-10	gene	2:93643433:93680339
Amh	0.4025	0.1825	0.22	0.00105751076253342	gene	10:80806247:80806648
Ankmy1	0.2375	0	0.2375	0.00442645808971845	TSS	1:92901906:92903906
Ap1s1	0.8775	0.6825	0.195	0.000105044590459354	TES	5:137033993:137035993
Ap2a2	0.7825	0.6025	0.18	0.00587343843939603	gene	7:141563179:141632011
Ap2b1	0.7925	0.625	0.1675	4.12264675804417e-05	gene	11:83303696:83404033
Apobr	0.3575	0.02	0.3375	0.000726154909216622	gene	7:126586007:126588092
Aqp2	0.7125	0.535	0.1775	7.88682922970129e-06	TSS	15:99578055:99580055
Arcn1	0.01	0.8025	-0.7925	1.06857656438703e-06	TSS	9:44766808:44768808
Arf1	0.6925	0.51	0.1825	0.017873251943039	gene	11:59212411:59227162
Arfgap2	0.6975	0.43	0.2675	0.00282588869178564	TES	2:91276371:91278371
Arhgdib	0.625	0.4275	0.1975	0.00635460190671976	TSS	6:136940503:136942503
Arhgef6	0.905	0.61	0.295	0.00250296338284714	gene	20:57232484:57337729
Arl5b	0.7075	0.3225	0.385	0.00246776329462516	gene	2:15056361:15078191
Arrdc3	0.8075	0.6325	0.175	0.0154697690653994	TES	13:80895043:80897043
Arx	0.0699999999999998	0.28	-0.21	1.30689856326363e-05	TES	20:93297355:93299355
Asb8	0.67	0.475	0.195	0.0095520032081812	TES	15:98133639:98135639
Asph	0.4775	0.26	0.2175	0.00256556697705042	TSS	4:9642717:9644717
Atl1	0.635	0.46	0.175	0.00881613897078715	gene	12:69894104:69963085
Atp2a3	0.8625	0.6175	0.245	0.000418385600557904	TES	11:72992043:72994043
Atp2b4	0.975	0.805	0.17	0.000884528888377051	TSS	1:133752747:133754747
Atp9a	0.0800000000000001	0.27	-0.19	0.00484553833882431	TSS	2:168740800:168742800
Atxn2	0.795	0.5675	0.2275	0.00317302543143984	TES	5:121813950:121815950
AU022754	0	0.2075	-0.2075	1.24120421320528e-06	TSS	15:85580141:85582141
Avpr2	1	0.83	0.17	0.00564361508914588	TSS	20:73891101:73893101
B4galnt1	0.1175	0.375	-0.2575	0.00354438643819656	gene	10:127166155:127167523
Bag1	0.6325	0.42	0.2125	0.000229614458867546	TES	4:40935397:40937397
Batf	0.7925	0.6225	0.17	0.000530295210076258	TSS	12:85685719:85687719
Bcam	0.765	0.5575	0.2075	5.97688898030043e-06	TES	7:19755137:19757137
Bcan	0.3725	0.1775	0.195	5.79380844276037e-06	gene	3:87988530:87999356
Bcl2l1	0.75	0.5125	0.2375	0.000517132518790328	gene	2:152781663:152829717
Bcl9l	0.0450000000000002	0.3025	-0.2575	2.41309421419102e-05	TES	9:44509412:44511412
Bcorl1	0.965	0.7625	0.2025	0.00439602297561046	gene	20:48342357:48405728
Best2	0.535	0.235	0.3	0.000686958267259841	TES	8:85006202:85008202
Bmx	0.865	0.6425	0.2225	0.00021689789571832	TSS	20:164257193:164259193
Bpifc	0.815	0.6575	0.1575	0.00333549650879509	gene	10:85960690:86010860
Bzrap1	0.48	0.2625	0.2175	1.79826963178737e-06	gene	11:87761540:87784928
C1qc	0.855	0.695	0.16	0.000280626850538096	TES	4:136888801:136890801
C1qtnf4	0.3775	0.625	-0.2475	0.0144083399038754	gene	2:90886785:90889526
C2cd2l	0.5675	0.8375	-0.27	0.00174583982583945	TES	9:44308236:44310236
C630031E19Rik	0.665	0.4825	0.1825	0.00772355345124864	TSS	12:29685445:29687445
Cacna1f	0.8225	0.6075	0.215	0.00308963131231739	TES	20:7634196:7636196
Cacna2d3	0	0.18	-0.18	2.85400863885761e-09	TSS	14:29720864:29722864
Cacnb3	0	0.185	-0.185	2.4348983879974e-05	TSS	15:98633766:98635766
Cacng2	0.925	0.7	0.225	0.0131288281121121	TES	15:77992622:77994622
Cacng8	0.4825	0.275	0.2075	0.000557426732440824	gene	7:3395116:3414605
Camk1	0.6025	0.375	0.2275	0.000385780331952755	TES	6:113333123:113335123
Camkv	0	0.18	-0.18	0.000230940336140531	TSS	9:107934919:107936919
Capg	0.56	0.325	0.235	0.00104763795650032	TSS	6:72543390:72545390
Capza2	0.83	0.6475	0.1825	0.00020509217687286	gene	6:17638097:17665536
Car15	0.3875	0.185	0.2025	0.00553006077616898	TES	16:17834275:17836275
Casc1	0.5075	0.3175	0.19	0.00332344178843829	TES	6:145173871:145175871
Casp1	0.5175	0.2325	0.285	0.00223030343184575	TSS	9:5297516:5299516
Cbx6	0.7075	0.525	0.1825	4.62192403863842e-06	gene	15:79824897:79833333
Cbx8	0.61	0.4125	0.1975	0.000263445088130659	TES	11:119037435:119039435
Cc2d1b	0.8	0.6325	0.1675	0.00181772756022967	TES	4:108633122:108635122
Ccdc102a	0.64	0.4175	0.2225	1.33600075156868e-05	gene	8:94903868:94917098
Ccdc134	0.7175	0.9025	-0.185	0.00448129522724941	TES	15:82141202:82143202
Ccdc142	0.4175	0.16	0.2575	0.001286840951306	gene	6:83102515:83108121
Ccdc70	0.7575	0.565	0.1925	0.000283022972173643	gene	8:21971595:21973041
Ccdc8	0.5175	0.3125	0.205	2.14765676808748e-09	TSS	7:16993587:16995587
Ccdc88b	0.6775	0.4925	0.185	8.36998527589531e-06	gene	19:6845622:6857211
Cckar	0.7025	0.4725	0.23	0.000803493835799503	TSS	5:53706704:53708704
Cd247	0.6975	0.4875	0.21	0.00125874096439263	TES	1:165861112:165863112
Cd276	0.385	0.7925	-0.4075	0.000141830545518065	TSS	9:58539940:58541940
Cd300lg	0.82	0.6225	0.1975	4.03551706590331e-05	TES	11:102054617:102056617
Cd37	0.4025	0.21	0.1925	0.000271838134955385	TES	7:45232631:45234631
Cd3d	0.3275	0.6125	-0.285	6.16330489853751e-07	TES	9:44986052:44988052
Cd40lg	0.4175	0.2125	0.205	0.00491613222443808	TES	20:57223042:57225042
Cd59a	0.6975	0.3175	0.38	1.08425917277777e-10	TSS	2:104094800:104096800
Cd72	0.4675	0.23	0.2375	0.0180228096066661	gene	4:43448723:43453626
Cd93	0.785	0.6125	0.1725	0.000301476954339693	TSS	2:148442535:148444535
Cdc42ep4	0.7375	0.525	0.2125	0.00114310259678851	TES	11:113725849:113727849
Cdh9	0.915	0.6525	0.2625	7.13470419550993e-07	TSS	15:16777100:16779100
Cdk18	0.2325	0.4325	-0.2	0.00774943139448618	TSS	1:132138685:132140685
Cdkn1c	0.53	0.2825	0.2475	7.82241770756936e-09	gene	7:143459338:143460050
Cdx1	0.7525	0.5325	0.22	0.0126907077099336	TES	18:61017861:61019861
Celf3	0.7325	0.46	0.2725	0.00624920482765534	TSS	3:94481721:94483721
Chadl	0.52	0.73	-0.21	3.17477254191217e-05	gene	15:81687166:81696287
Chka	0.8925	0.6725	0.22	0.0123387153410597	TES	19:3893369:3895369
Chn2	0	0.195	-0.195	0.0015547548254456	TSS	6:54038931:54040931
Chp2	0.5925	0.38	0.2125	5.41975192219232e-05	TSS	7:122218495:122220495
Chpf2	0.805	0.6475	0.1575	0.000215380613383459	gene	5:24587749:24591486
Chrna4	0.02	0.2125	-0.1925	0.00227620879812194	TSS	2:181038177:181040177
Cish	0.2625	0.475	-0.2125	0.0124690404943028	TSS	9:107295688:107297688
Clec11a	0.4875	0.2825	0.205	0.00765588334054428	TSS	7:44305959:44307959
Clint1	0.64	0.8225	-0.1825	0.00650913166816234	TES	11:45909625:45911625
Clk3	0.6525	0.45	0.2025	0.0101293600066286	gene	9:57751710:57764860
Clk4	0.3875	0.2225	0.165	0.00752073581038419	gene	11:51264113:51280770
Clock	0.8025	0.62	0.1825	0.0138474117686737	gene	5:76210867:76302502
Col18a1	0.8325	0.6425	0.19	0.000929095440132379	TSS	10:77112705:77114705
Col19a1	0.725	0.465	0.26	0.0126571997244116	TES	1:24256682:24258682
Cox4i2	0.525	0.33	0.195	0.00752423637898401	TES	2:152764037:152766037
Cpsf4l	0.715	0.495	0.22	0.00326845117908814	TSS	11:113709017:113711017
Cr1l	1	0.83	0.17	0.00752408226073965	gene	1:195104787:195130570
Crb2	0.58	0.4125	0.1675	7.37473511345981e-06	TSS	2:37775248:37777248
Creb3l4	0.215	0.4	-0.185	0.00497610232298567	TSS	3:90242512:90244512
Crlf2	0.475	0.67	-0.195	8.51487843405246e-07	gene	5:109555708:109557993
Crtac1	0	0.175	-0.175	3.48593506266989e-06	TSS	19:42430783:42432783
Cryab	0.8025	0.595	0.2075	0.000180535052693446	TSS	9:50750324:50752324
Crybb1	0.71	0.5025	0.2075	0.00419056929959276	TSS	5:112254820:112256820
Ctbp1	0.775	0.5775	0.1975	0.000110655994088384	TES	5:33246722:33248722
Ctnnb1	0.635	0.4475	0.1875	0.00313729948020196	TES	9:120959507:120961507
Cxcr4	0.5875	0.8025	-0.215	0.0174848594564433	gene	1:128589198:128591299
Cyb561d1	0.3675	0.59	-0.2225	0.00657507332261821	gene	3:108196770:108199834
Cyp26c1	0.7625	0.5825	0.18	8.85606509992323e-06	TSS	19:37684679:37686679
Cyth3	0.75	0.58	0.17	4.9962336856065e-08	gene	5:143623446:143709248
D430041D05Rik	0.7875	0.61	0.1775	0.00307152907469308	TES	2:104142074:104144074
D830013O20Rik	0.7275	0.505	0.2225	0.00254583062908219	gene	12:73365074:73408563
D8Ertd82e	0.0249999999999999	0.21	-0.185	0.00567894664698329	TSS	8:36093827:36095827
Dapk2	0.83	0.63	0.2	0.0058373541155743	TES	9:66271242:66273242
Dcaf12l2	0.285	0.5975	-0.3125	0.00362949084432632	TSS	20:44367337:44369337
Dcn	0.765	0.5575	0.2075	0.0126345365808646	gene	10:97480499:97517162
Def6	0.63	0.3975	0.2325	0.00283995174348007	TSS	17:28206777:28208777
Defb23	0.7975	0.61	0.1875	0.0022136475463321	TES	2:152458054:152460054
Degs2	0.02	0.2175	-0.1975	0.00206121761110633	TSS	12:108701306:108703306
Diap2	0.775	0.495	0.28	0.0050333505395948	gene	20:129750741:130464833
Disp2	0.7525	0.5375	0.215	1.98820190231867e-05	gene	2:118780718:118794175
Dlg3	0.0800000000000001	0.4	-0.32	0.00327628335250247	TSS	20:100776270:100778270
Dlk1	0.5175	0.315	0.2025	1.73693941900027e-08	gene	12:109454454:109462336
Dll4	0.6275	0.86	-0.2325	0.000110364256059514	TES	2:119334666:119336666
Dlx6	0	0.17	-0.17	0.00237996634345678	TSS	6:6862333:6864333
Dmkn	0.72	0.5125	0.2075	0.00803245559013469	gene	7:30764755:30780066
Dmpk	0.0600000000000001	0.235	-0.175	0.0131308946281009	TES	7:19092820:19094820
Dmrta2	0	0.185	-0.185	1.43727820566271e-17	gene	4:109979024:109982684
Dnal4	0.6025	0.4125	0.19	7.52602839261272e-07	gene	15:79762448:79773467
Dntt	0.705	0.5225	0.1825	3.20749424385454e-05	gene	19:41030274:41058525
Dock11	0.7375	0.465	0.2725	0.000977044043065772	gene	20:35889831:36075562
Dpagt1	0.6525	0.9175	-0.264999999999999	1.00984021626482e-09	gene	9:44327844:44332600
Dpf1	0.1975	0.395	-0.1975	2.65178279417226e-07	gene	7:29305004:29316586
Dtnb	0.2175	0.02	0.1975	0.00452783617798068	TES	12:3780398:3782398
Dtx1	0.6225	0.4475	0.175	5.9754914636295e-17	gene	5:120681263:120710669
Dusp1	0.7025	0.485	0.2175	0.00480211113318712	TES	17:26504590:26506590
Dusp10	0.6825	0.4775	0.205	0.00225149742246876	TES	1:184074636:184076636
Dydc2	0.6075	0.37	0.2375	0.00159526304367809	gene	14:41050208:41068074
E030003E18Rik	0.85	0.685	0.165	0.00865770569552261	gene	19:20493714:20555410
E130114P18Rik	0.67	0.455	0.215	0.00175253437281824	TSS	4:97583591:97585591
E130308A19Rik	0.85	0.685	0.165	0.000242656060276282	gene	4:59627210:59720401
E130309D14Rik	0.8725	0.6875	0.185	0.00421411705913034	TES	11:74640516:74642516
Edem2	0.9875	0.8075	0.18	0.00121635787652495	TES	2:155700672:155702672
Edil3	0.7325	0.56	0.1725	0.00027414054818094	gene	13:88822471:89322225
Eepd1	0.8025	0.6275	0.175	1.26529394325248e-10	gene	9:25482596:25603110
Efna4	0.7925	0.565	0.2275	0.00656242582448982	TES	3:89332392:89334392
Efnb1	0.745	0.37	0.375	0.000295349091224958	TES	20:99147991:99149991
Egr4	0	0.175	-0.175	0.000984404488889476	TES	6:85510121:85512121
Ei24	0	0.1975	-0.1975	0.00455077662227391	TSS	9:36796068:36798068
Eif2s3x	0.7675	0.3575	0.41	0.00488593825084746	TES	20:94187708:94189708
Eme2	0.7125	0.5325	0.18	0.00142074256173746	TES	17:24891151:24893151
Epb4 2	0.86	0.6875	0.1725	0.0018948048416849	TSS	2:121035755:121037755
Ephx1	0.3175	0.62	-0.3025	0.00435540203040727	TSS	1:181016495:181018495
Erf	0.3775	0.61	-0.2325	2.46885638601774e-06	gene	7:25243559:25249758
Esam	0.4775	0.2625	0.215	0.000718581100194915	TSS	9:37527088:37529088
Extl1	0.39	0.565	-0.175	0.0125754793072059	TES	4:134355372:134357372
Fam101a	0.9	0.7325	0.1675	0.00576226009948012	TES	5:125011547:125013547
Fam102a	0.7875	0.6225	0.165	2.42391937283132e-09	gene	2:32536358:32568750
Fam107a	0.815	0.64	0.175	0.0106419287667804	gene	14:8297277:8308776
Fam131b	0.78	0.5625	0.2175	0.000554115260011769	gene	6:42316304:42323640
Fam136a	0.14	0.3925	-0.2525	0.00748249745657654	TSS	6:86364682:86366682
Fam171a2	0.0175000000000001	0.21	-0.1925	0.00746129273226601	TSS	11:102446663:102448663
Fam192a	0.395	0.5875	-0.1925	0.00184842216107843	TES	8:94573940:94575940
Fam212b	0.65	0.4375	0.2125	0.000456548563925327	gene	3:105706457:105719842
Fam83g	0.16	0.34	-0.18	0.00367131395545117	TSS	11:61683409:61685409
Fam83h	0.1925	0.00750000000000006	0.185	1.81997174343928e-07	gene	15:76002091:76013336
Fancd2os	0.285	0.4775	-0.1925	0.00251719852074392	TSS	6:113599715:113601715
Fat4	0.5925	0.385	0.2075	0.00500265862887773	gene	3:38887939:39010983
Fbp1	0.435	0.215	0.22	0.00126062930894243	TSS	13:62887282:62889282
Fbxl8	0.5025	0.3	0.2025	0.0120057612496707	gene	8:105265647:105268326
Fbxo32	0.00750000000000006	0.2125	-0.205	3.68311765535051e-05	TSS	15:58213892:58215892
Fbxw27	0.8725	0.6975	0.175	0.00555261812461805	gene	9:109767044:109789650
Fgfr3	0.5125	0.2975	0.215	7.48172386383953e-05	gene	5:33722723:33736068
Fhad1os1	0.6525	0.8375	-0.185	0.0103098029145751	TSS	4:141981991:141983991
Figf	0.8425	0.6225	0.22	0.00210894608037956	gene	20:164374547:164401647
Fmnl1	0.05	0.2825	-0.2325	0.00264655840522519	TSS	11:103170137:103172137
Fndc4	0.4875	0.7275	-0.24	0.00440608840886705	gene	5:31293245:31294877
Fndc8	0.7375	0.5225	0.215	0.0024123239963627	TSS	11:82891144:82893144
Foxl1	0.68	0.4775	0.2025	0.00135543025468573	TES	8:121129644:121131644
Foxp4	0.84	0.63	0.21	0.00640405006409233	TES	17:47866132:47868132
Frk	0.725	0.535	0.19	0.00732119442276843	TSS	10:34482399:34484399
Frmd7	0.525	0.2875	0.2375	3.91741177040139e-05	TSS	20:50941710:50943710
Fry	0.4725	0.3175	0.155	0.0105701822899303	gene	5:150260929:150496753
Fscn2	0.8925	0.6975	0.195	2.60612101928328e-05	TES	11:120367173:120369173
Ftx	0	0.27	-0.27	0.00403529015714642	TSS	20:103622754:103624754
Fxyd2	0.5475	0.8175	-0.27	3.65890557263348e-06	TSS	9:45398708:45400708
Fxyd5	0.5225	0.3	0.2225	2.84498848785419e-05	TSS	7:31040839:31042839
Fxyd6	0.5425	0.8175	-0.275	1.28646335805961e-07	TES	9:45395159:45397159
Fxyd7	0.46	0.2325	0.2275	0.000127860362437483	TES	7:31041514:31043514
Fzd6	0.8225	0.6475	0.175	0.00859032535853636	gene	15:39007279:39037190
G530011O06Rik	0.7325	0.4875	0.245	8.84785360919418e-05	TES	20:169974042:169976042
G6b	0.68	0.4375	0.2425	0.0040440602928464	gene	17:35063692:35065184
Gabarapl1	0.6775	0.4875	0.19	0.0129453002073032	gene	6:129534191:129541331
Galp	0.7375	0.5525	0.185	0.00663492341829015	TSS	7:6196089:6198089
Gata5os	0.7825	0.5925	0.19	0.000436530463226221	TES	2:180339732:180341732
Gdf7	0.3075	0.1375	0.17	0.00444190047832732	gene	12:8298917:8300954
Gdpgp1	0.0225	0.2075	-0.185	0.00188096939999887	TSS	7:80231892:80233892
Gm10653	0.345	0.705	-0.36	1.54365310731897e-07	TSS	9:62861024:62863024
Gm10778	0.38	0.205	0.175	0.00253426719928901	TSS	10:81811185:81813185
Gm13003	0.2675	0.48	-0.2125	0.00434935885732239	TSS	4:137164066:137166066
Gm13032	0.575	0.31	0.265	5.69929020687533e-06	gene	4:140811992:140816511
Gm13546	0.535	0.235	0.3	0.0109566882149821	gene	2:58164973:58176063
Gm14005	0.8875	0.71	0.1775	0.00143325680118574	TES	2:128297662:128299662
Gm14057	0.755	0.555	0.2	0.00170007112637186	TSS	2:130803101:130805101
Gm14634	0.77	0.9725	-0.2025	0.00115293390037476	TES	20:12820492:12822492
Gm14812	0.8375	0.5975	0.24	2.89157030917687e-05	gene	20:99406330:99442797
Gm15326	0.7175	0.52	0.1975	1.1403187040349e-05	TSS	13:111866935:111868935
Gm16063	0.775	0.5425	0.2325	0.00176900885520756	gene	5:119626941:119633462
Gm16287	0.6125	0.4225	0.19	0.00656708349125853	TES	4:139174406:139176406
Gm17359	0.7175	0.5025	0.215	0.00116622725807452	gene	3:79346375:79463128
Gm19345	0.7425	0.495	0.2475	0.000321026499582499	TES	7:19857355:19859355
Gm19689	0.775	0.59	0.185	0.0018670229881293	TSS	17:83077225:83079225
Gm19897	0.695	0.5	0.195	0.00307831812931792	TES	7:28773898:28775898
Gm20748	0.77	0.565	0.205	0.00463062202214701	gene	18:61640652:61646485
Gm20751	0.915	0.75	0.165	0.000790591466216311	TES	13:43718038:43720038
Gm21283	0.495	0.29	0.205	0.00133168599182839	TSS	8:110501356:110503356
Gm2721	0.8525	0.6775	0.175	0.00931394105109355	TES	12:105393855:105395855
Gm3402	0.89	0.65	0.24	9.23224442089987e-07	TSS	5:146555135:146557135
Gm3415	0.89	0.65	0.24	9.23224442089987e-07	TSS	5:146555112:146557112
Gm4262	0.735	0.4075	0.3275	0.00074461647857915	TSS	16:11007897:11009897
Gm5166	0.815	1	-0.185	0.00384568559210067	TES	20:102797389:102799389
Gm6416	0.8775	0.665	0.2125	0.000409925974196124	TSS	13:117129024:117131024
Gm6592	0.985	0.795	0.19	0.00735098344389482	TES	20:8848607:8850607
Gm684	0.58	0.88	-0.3	3.93348422931154e-08	TES	9:51269257:51271257
Gm6936	0.6	0.3075	0.2925	0.00290360233568183	TSS	16:49979459:49981459
Gm7538	0.86	0.695	0.165	0.00113286766007303	TES	5:119193312:119195312
Gm996	0.555	0.3875	0.1675	1.1661669314724e-12	gene	2:25576415:25579099
Gmppa	0.28	0.5325	-0.2525	0.0101300920129829	TES	1:75442176:75444176
Gnai2	0.465	0.2925	0.1725	9.61454863721098e-06	gene	9:107615137:107634342
Gnas	0.17	0.4325	-0.2625	4.1515375848767e-06	TSS	2:174329088:174331088
